claimid,incident_date,claim_type,uninhabitable,claim_amount,fraudulent,policyid,policy_date,coverage,deductible,townsize,gender,dob,edcat,job_start_date,retire,income,marital,reside,occupancy_date,primary_residence
30148119,1/22/2008,5,0,3.876,0,GQN-576256,1/21/2008,121,1000,4,1,4/23/1990,1,2/5/2008,0,14,1,4,3/13/2008,1
811540200,10/14/2008,2,0,19.525,0,PYG-336352,5/16/1978,275,1000,3,1,3/26/1950,2,2/14/1984,0,117,1,2,5/22/1972,1
982576754,10/8/2008,5,0,4.523,0,XID-288945,3/29/1987,70,500,4,0,4/29/1946,1,12/5/1978,1,10,0,1,1/29/1976,1
78218667,3/4/2008,4,0,97.133,0,MUV-332276,8/7/2002,234,3000,2,1,1/25/1951,2,12/10/1989,0,99,1,2,6/5/1996,1
604520413,3/22/2008,5,0,5.047,0,MJA-465177,11/8/2007,64,1000,3,0,12/21/1987,3,6/21/2008,0,26,1,4,5/16/2007,1
40753323,8/6/2008,2,0,22.334,0,RBZ-204785,3/11/1996,171,1000,1,1,2/4/1932,3,11/23/1988,0,134,0,1,8/10/1988,1
725288227,7/11/2008,3,0,41.021,0,IQI-810800,1/10/1988,110,1000,2,0,3/14/1956,3,3/25/1982,0,120,1,4,6/18/1979,1
173023393,6/21/2008,3,0,79.888,0,XYY-183277,2/9/1998,176,1000,5,0,8/8/1948,3,9/7/1983,1,75,0,3,9/28/1990,1
268815803,7/16/2008,2,0,9.296,0,KUM-949351,2/13/2003,211,1000,5,0,8/14/1973,4,12/10/1999,0,91,0,3,6/13/1997,1
354939476,3/2/2008,1,1,50.508,0,TJC-228858,7/15/2001,337,3000,1,1,9/25/1965,4,2/22/2003,0,82,0,1,2/27/1995,1
523834263,5/25/2008,1,0,2.882,0,ING-763846,2/17/2008,83,3000,4,1,8/8/1989,2,3/26/2008,0,31,1,4,2/17/2008,1
730559166,1/7/2008,5,0,8.515,0,NPZ-276877,7/30/1986,99,500,1,1,6/23/1946,2,11/24/2000,0,22,1,2,10/22/1974,1
969981698,10/20/2008,1,0,24.793,0,QUE-621601,7/19/1983,336,1000,1,1,11/11/1933,1,12/3/1992,0,34,1,2,7/18/1970,1
486519628,11/1/2008,5,0,7.559,0,PLM-948981,5/16/1980,100,3000,4,0,12/18/1933,3,7/12/2003,1,11,1,2,9/4/1973,1
743754428,10/16/2008,1,0,38.229,0,KUY-454779,8/26/2001,1006,1000,2,1,7/27/1969,4,10/26/1998,0,61,1,2,8/9/1996,1
112050495,11/16/2008,4,0,161.928,0,GSD-003710,7/25/2005,383,3000,2,0,12/13/1964,1,3/11/1991,0,86,0,1,12/27/2001,1
973356103,6/18/2008,5,0,3.506,0,CDQ-954081,3/4/1995,199,1000,1,0,7/31/1962,2,5/28/1999,0,60,0,1,11/23/1992,1
282421795,8/14/2008,5,0,18.199,0,YKK-858366,7/16/1999,393,1000,4,1,7/9/1962,3,1/31/2005,0,32,1,2,8/12/1993,1
425361371,2/19/2008,5,0,60.197,0,LXW-551661,7/21/1995,1398,3000,5,0,10/25/1964,3,7/9/2001,0,212,0,1,2/6/1988,1
648827970,1/16/2008,4,0,112.897,0,HOU-737121,6/4/2001,254,1000,3,1,2/21/1959,2,2/19/1990,0,93,1,2,2/1/1996,1
401981595,11/6/2008,3,0,47.9031,1,HBR-714199,5/26/2008,136,1000,5,0,9/19/1990,2,8/27/2008,0,15,0,3,5/26/2008,1
2434346,5/16/2008,1,0,2.282,0,HMA-955349,4/17/2005,71,1000,1,0,12/28/1977,5,2/25/2008,0,20,1,8,6/18/2004,1
700904481,2/16/2008,1,1,12.457,0,KNH-752731,10/16/1972,85,1000,3,0,9/9/1934,1,1/27/1970,1,80,0,1,1/29/1964,1
47266848,6/10/2008,5,0,6.374,0,FQS-735572,5/26/2006,88,3000,4,1,2/19/1984,4,10/2/2008,0,31,1,5,3/8/2005,1
511049046,1/9/2008,1,0,8.866,0,AOM-777337,8/18/1999,331,3000,5,0,10/13/1966,1,10/5/1993,0,45,1,2,5/18/1994,0
868904608,1/12/2008,5,0,4.5549,1,UMS-193483,8/30/1989,54,1000,3,0,6/28/1939,1,10/6/1974,1,29,0,1,2/27/1980,1
276627337,2/10/2008,3,0,86.876,0,HMA-940293,2/5/2008,197,1000,1,1,1/4/1990,1,2/13/2008,0,27,1,4,4/30/2008,1
682696386,4/1/2008,2,0,13.112,0,RMS-632472,6/9/1981,95,3000,3,0,2/5/1930,2,3/8/1997,1,9,0,1,12/28/1970,1
378022087,6/7/2008,3,1,192,0,RTG-977838,2/16/1994,192,1000,1,0,4/1/1959,1,9/11/1992,0,112,1,2,9/29/1991,1
909568345,7/13/2008,3,0,126.769,0,UJG-111686,8/18/1997,352,2000,4,1,8/26/1965,4,3/5/1998,0,62,0,2,4/8/1996,0
254558471,8/9/2008,4,1,309,0,ZZJ-843650,6/21/2002,309,1000,3,1,3/10/1961,2,4/17/1987,0,138,1,2,4/5/2000,1
908898545,6/20/2008,1,0,2.544,0,VJT-517334,8/19/1999,72,1000,2,1,3/3/1970,4,7/5/2000,0,27,1,5,2/6/1997,1
649973250,8/11/2008,3,1,422,0,QXF-034606,9/6/1998,422,2000,3,0,8/31/1974,4,1/16/2007,0,82,1,5,6/20/1997,1
407181169,3/1/2008,5,0,23.928,0,NVE-815032,10/23/2005,455,1000,1,0,4/30/1971,4,7/24/2004,0,48,1,4,4/24/2000,1
875967512,9/8/2008,3,0,117.09,0,HCI-084167,3/29/1992,236,3000,3,0,10/24/1954,3,9/26/1992,0,163,1,2,10/6/1988,1
290574002,6/12/2008,2,0,6.394,0,WXY-867192,8/3/1975,72,500,3,1,2/9/1931,1,7/23/1986,1,10,0,1,9/21/1969,1
504727950,10/23/2008,3,1,797,0,XFA-333789,11/2/1991,797,3000,3,0,4/1/1950,3,12/23/1995,0,293,0,1,9/13/1983,1
331216566,1/3/2008,5,0,10.614,0,IEQ-278753,3/3/1988,140,2000,4,1,4/12/1961,1,3/12/2001,0,66,0,3,12/20/1986,1
81635024,9/11/2008,1,0,4.521,0,SXG-762742,5/28/2000,119,2000,1,0,7/31/1979,4,1/25/2007,0,30,1,4,11/1/1999,1
46317605,7/25/2008,3,1,63,0,AWY-835227,1/21/2006,63,3000,2,0,8/11/1981,2,1/23/2007,0,15,1,4,10/21/2000,1
929010931,6/9/2008,2,0,33.165,0,IRD-199828,7/14/1989,315,2000,1,1,9/18/1948,2,12/3/1982,1,98,1,2,1/22/1981,1
244020262,8/22/2008,1,0,12.712,0,VPE-275331,10/14/1992,257,1000,4,1,6/10/1958,4,1/13/1988,0,328,1,2,6/8/1983,1
188337122,9/26/2008,5,0,2.609,0,RER-638323,4/9/1991,61,2000,5,1,9/17/1955,2,1/11/1996,0,102,0,1,6/18/1981,1
456653200,2/18/2008,1,0,2.502,0,ZZJ-664374,2/16/2008,60,500,3,1,2/18/1988,3,6/1/2008,0,12,1,3,5/4/2008,1
455309485,10/10/2008,1,0,34.198,0,ZLZ-690463,3/25/2007,483,1000,2,1,10/27/1987,2,7/15/2008,0,24,1,7,3/14/2006,0
939903464,10/4/2008,1,0,4.441,0,QKZ-410246,2/2/2008,74,3000,2,1,9/25/1990,2,3/8/2008,0,13,1,8,2/2/2008,1
901120622,2/7/2008,3,0,90.802,0,PIW-962352,3/9/1986,217,1000,3,0,5/10/1947,4,1/5/1997,0,90,0,1,1/22/1979,1
197961564,3/9/2008,3,0,38.234,0,KUN-623343,12/12/1992,116,500,1,0,7/26/1944,4,7/11/1999,1,27,0,1,11/17/1987,1
809710209,8/13/2008,5,0,12.315,0,QYY-133207,10/7/1981,248,1000,1,0,7/15/1953,3,9/17/1985,0,70,1,2,3/29/1978,0
807310294,11/1/2008,1,0,17.76,0,LCC-861169,9/16/1994,409,2000,2,0,7/30/1963,2,1/18/1991,0,68,0,1,7/6/1987,1
7907651,11/5/2008,3,0,307.19745,1,GEA-569539,6/11/2003,708,3000,2,0,9/13/1972,1,12/24/2002,0,46,1,2,11/15/1996,1
57155238,11/13/2008,1,0,36.941,0,JNF-024786,10/9/2000,559,2000,2,0,3/28/1973,2,5/21/1997,0,34,0,1,8/18/1998,1
475061511,5/28/2008,3,0,41.044,0,WMS-687601,4/20/2008,88,1000,5,0,9/19/1951,4,1/29/2005,0,28,0,1,8/23/2003,1
389399727,9/4/2008,5,0,15.263,0,FAB-765425,8/14/1998,268,2000,3,1,6/30/1971,4,1/19/2004,0,40,1,3,7/20/1995,1
629087539,2/18/2008,5,0,33.485,0,ZNO-158535,5/10/2001,656,3000,2,0,5/29/1974,3,2/11/1999,0,52,1,5,3/22/1996,1
587442137,7/16/2008,3,0,169.918,0,KIT-762980,3/31/2007,400,2000,1,0,10/19/1976,2,10/12/2004,0,26,0,3,12/13/2001,1
251340280,1/12/2008,3,0,289.337,0,AJF-103803,10/4/1993,687,3000,3,1,6/19/1948,2,4/5/1996,0,59,0,1,2/10/1985,1
931416882,11/18/2008,3,1,206,0,SSN-203273,6/25/1999,206,3000,1,1,1/31/1961,2,12/13/1995,0,37,1,2,3/20/1993,1
826808229,10/30/2008,3,0,36.295,0,DVR-825170,2/14/1979,75,1000,1,0,7/31/1951,4,3/4/1984,1,32,0,1,7/15/1972,1
541281122,4/30/2008,3,0,209.822,0,ORZ-257046,7/22/1997,526,3000,3,1,8/25/1940,3,11/13/1983,1,27,0,1,2/3/1992,1
141570438,11/12/2008,5,0,6.103,0,MDN-384059,9/24/2004,138,1000,2,0,12/9/1979,3,9/20/2008,0,27,1,2,10/15/1998,1
673065610,4/19/2008,1,0,46.142,0,BAN-611311,6/3/1988,998,2000,1,0,9/21/1953,5,2/20/1985,0,1026,0,3,9/14/1985,1
84863140,9/27/2008,2,0,21.259,0,EFA-492821,3/20/1974,137,1000,1,0,7/5/1934,2,10/15/1979,1,37,1,2,9/25/1963,1
521110159,8/10/2008,1,0,6.544,0,SZW-490665,10/20/1991,253,1000,4,0,2/23/1953,1,5/18/1993,0,66,1,2,3/14/1984,1
468405259,1/10/2008,2,0,19.434,0,VHT-529530,7/21/1990,172,1000,4,1,11/3/1957,4,6/21/1992,0,102,0,1,12/22/1982,1
892383935,1/12/2008,3,0,35.431,0,RJL-647632,1/18/2004,95,500,2,0,9/12/1969,4,6/21/2001,0,38,0,1,11/12/1997,1
224588738,6/27/2008,5,0,7.753,0,USF-842723,10/6/2007,234,1000,5,1,12/6/1979,3,9/22/2007,0,30,0,1,8/15/2002,1
352958627,6/25/2008,2,0,39.605,0,AYX-674971,10/30/1986,258,1000,4,1,4/6/1960,3,9/5/1991,0,55,0,2,5/27/1981,1
159973420,11/19/2008,3,1,86,1,TCL-891297,7/10/2008,86,2000,5,1,3/8/1987,2,11/6/2007,0,13,1,4,12/3/2007,1
686901119,11/7/2008,5,1,10.51365,1,WLJ-345211,6/1/2008,61,1000,1,0,11/27/1990,1,4/7/2008,0,13,0,1,6/1/2008,1
572193996,5/31/2008,5,0,4.281,0,TCR-122227,5/23/2005,122,500,1,0,4/4/1940,2,10/29/1984,1,44,0,1,9/2/2004,1
821784944,4/21/2008,5,0,1.981,0,TCI-394250,2/8/1988,66,500,1,0,3/19/1945,2,12/4/1995,1,12,0,1,5/6/1980,1
566485922,5/25/2008,4,0,491.768,0,RED-110312,4/28/1996,1167,3000,3,0,9/7/1966,1,11/3/1984,0,155,1,4,4/18/1988,1
404320539,2/25/2008,4,0,80.385,0,KTM-499943,4/15/1995,189,3000,3,1,11/5/1959,1,11/12/2001,0,59,0,1,3/23/1988,1
600639268,1/16/2008,5,0,24.37,0,BUB-181639,9/30/1991,632,3000,5,0,2/7/1951,4,11/2/1998,0,95,1,2,3/3/1983,0
513679427,11/16/2008,1,0,13.077,0,HXI-448147,4/22/2003,224,1000,5,1,8/21/1979,2,9/1/2008,0,18,1,4,12/24/2000,1
350731566,7/14/2008,5,0,2.982,0,LIN-661944,11/2/1981,86,500,1,0,9/17/1948,1,12/30/2005,0,43,0,1,10/26/1973,1
421028114,9/9/2008,3,0,413.335,0,QAU-075214,12/15/1994,1049,3000,4,0,10/8/1967,4,1/16/2005,0,155,1,5,7/9/1986,1
517070435,3/19/2008,3,0,81.751,0,YEE-232139,5/8/2002,187,3000,2,1,9/6/1971,2,3/25/1998,0,58,1,3,11/26/1997,1
619480252,4/18/2008,4,1,196,0,HTI-593505,12/5/1994,196,1000,1,1,8/10/1966,4,3/22/2005,0,64,1,2,9/7/1989,1
358144648,8/28/2008,3,1,213,0,IOK-613076,10/13/1987,213,500,1,1,8/4/1943,2,3/8/1988,0,159,1,2,1/3/1977,1
303124103,7/6/2008,3,0,87.849,0,QZQ-267195,2/19/2004,254,1000,1,1,11/4/1981,4,5/31/2006,0,45,1,3,2/8/2002,1
403007318,2/12/2008,1,0,3.867,0,TNC-504692,6/19/1990,74,500,3,0,12/23/1930,2,7/8/1996,1,9,1,2,11/9/1984,0
146880683,7/11/2008,2,0,37.677,0,VJZ-332064,7/9/2005,283,2000,5,1,6/10/1984,4,2/21/2008,0,55,0,1,10/9/2003,1
850293641,4/18/2008,1,0,3.679,0,XMX-751974,11/11/1984,63,500,1,0,9/27/1954,1,8/28/2000,0,41,1,2,6/28/1983,1
584905021,4/29/2008,4,0,36.48,0,LVU-471435,10/24/2002,90,3000,2,1,3/11/1931,4,9/26/1990,0,68,1,2,4/26/1997,1
376257624,8/7/2008,5,0,8.824,0,NBG-112376,12/16/2001,136,1000,1,0,10/2/1977,3,2/9/2006,0,47,1,4,11/4/1999,1
242463404,10/17/2008,5,0,59.57,0,GOE-359737,11/4/1998,1035,3000,4,0,2/9/1972,2,6/10/1995,0,65,1,2,5/7/1993,1
87549749,10/9/2008,5,0,38.1339,1,JUJ-534745,2/23/1996,852,2000,4,1,9/27/1972,1,5/25/2000,0,35,0,1,10/3/1995,0
986203158,7/29/2008,3,0,71.562,0,SXG-827009,5/20/1992,156,1000,1,1,2/29/1940,1,3/15/2002,1,11,0,1,1/30/1983,1
831160911,11/14/2008,3,1,262,0,SET-636299,1/7/1997,262,3000,1,0,11/3/1965,4,10/27/1997,0,83,1,2,12/17/1990,0
945319077,6/22/2008,5,0,2.449,0,EQU-992481,4/7/1983,129,3000,3,0,2/20/1952,4,4/28/2002,0,38,1,2,4/23/1972,1
250963029,6/22/2008,5,0,9.833,0,GEK-379955,1/10/1991,166,1000,1,0,3/18/1959,4,2/9/1992,0,97,0,1,3/10/1989,1
470234290,10/15/2008,3,0,60.745,0,DTQ-283775,6/25/2000,164,1000,3,1,5/18/1970,4,9/29/2007,0,45,1,2,1/17/1993,0
623185747,7/6/2008,1,0,96.861,0,TQN-547155,5/24/1994,2108,3000,1,0,1/1/1948,1,1/3/1979,0,243,1,3,11/20/1993,1
18439810,2/25/2008,1,0,7.435,0,YBL-164938,8/20/1995,145,2000,1,0,1/27/1952,3,6/5/1997,0,58,1,2,9/3/1988,1
250232031,8/30/2008,3,1,105,0,KXG-508283,8/11/2005,105,1000,1,0,5/15/1983,3,6/7/2007,0,49,0,4,8/19/2003,1
974754160,3/6/2008,5,0,2.331,0,CXO-793410,11/17/2007,59,1000,1,1,12/28/1984,2,5/28/2005,0,21,1,5,4/12/2006,1
344586953,1/4/2008,1,0,11.113,0,OMZ-776598,12/29/2007,201,2000,4,1,4/8/1982,1,11/26/2001,0,17,1,6,11/28/2003,1
874496543,11/1/2008,5,0,3.55,0,VQM-705205,10/2/1994,203,3000,1,1,6/3/1941,3,9/13/2000,0,40,0,1,6/5/1986,1
487400164,10/7/2008,1,0,47.472,0,QXP-342521,6/24/1993,1255,1000,2,1,7/13/1931,2,10/1/1993,0,74,0,2,6/8/1984,1
282689801,3/16/2008,3,1,416,0,EVU-215533,9/26/1982,416,2000,1,1,9/4/1952,5,8/2/1989,0,141,1,4,9/14/1974,1
694288054,5/24/2008,3,1,72,0,ZZO-204876,11/8/1994,72,1000,2,0,11/23/1962,1,8/5/1995,0,60,1,4,6/27/1988,1
346492274,9/30/2008,5,0,3.648,0,GAF-087237,5/20/2008,59,1000,2,1,10/2/1990,2,12/13/2008,0,14,1,6,5/20/2008,1
142128795,10/4/2008,3,0,383.963,0,PJG-593644,1/2/1995,1032,2000,2,1,9/30/1954,2,12/25/1994,0,220,0,2,2/17/1986,0
361126278,9/13/2008,5,0,42.74025,1,KVV-520810,5/30/1995,692,3000,4,0,8/14/1971,3,6/15/1996,0,123,0,1,6/13/1993,1
133689667,9/29/2008,1,0,4.87,0,ZTR-822458,3/15/2005,156,1000,4,1,9/3/1983,3,9/20/2007,0,24,1,5,11/30/2004,1
643935931,2/29/2008,1,0,4.379,0,CBR-184976,8/18/2002,154,2000,5,1,8/10/1971,3,12/14/2000,0,29,0,1,11/7/1995,1
358975683,9/28/2008,1,0,13.663,0,NYR-396620,9/4/1991,264,3000,3,0,11/4/1968,1,6/17/1993,0,65,0,3,5/29/1990,1
924135941,11/4/2008,3,0,173.563,0,IDR-147271,3/14/1994,405,3000,4,0,7/3/1972,4,11/8/2005,0,109,1,6,2/27/1992,1
454740754,3/7/2008,5,0,24.492,0,NFE-069397,10/6/2000,486,1000,1,1,6/7/1975,2,6/17/1997,0,47,0,2,12/11/1998,1
968489001,5/6/2008,5,0,25.0845,1,UVD-504344,6/27/2001,421,1000,1,1,9/24/1974,1,2/25/2000,0,56,0,1,3/5/1996,1
862643487,10/7/2008,1,0,2.5851,1,KFS-176867,5/1/2005,78,1000,3,0,2/10/1984,2,2/8/2008,0,23,1,2,4/23/2004,1
528360933,7/2/2008,3,1,288,0,CBI-121040,3/27/2002,288,1000,5,0,7/30/1971,2,8/13/1992,0,66,0,1,2/2/2002,1
416632962,11/29/2008,4,0,41.124,0,OEP-092711,3/7/2000,109,1000,4,1,4/14/1975,2,3/4/2005,0,50,1,4,12/13/1994,1
518260997,4/11/2008,5,0,10.81,0,HQL-816486,6/21/1989,199,1000,1,0,6/21/1951,4,12/1/2000,0,38,0,1,2/2/1982,1
111290595,1/8/2008,5,0,5.796,0,IHS-739584,5/18/1994,125,2000,4,0,11/4/1959,4,10/26/2005,0,57,0,1,2/17/1987,1
917225100,5/26/2008,5,0,3.984,0,OGH-073376,4/30/1985,117,1000,2,0,12/27/1934,2,5/22/1999,1,12,1,2,8/21/1977,1
421843080,5/11/2008,2,0,8.463,0,LKT-516533,2/5/1995,80,500,3,1,6/1/1944,1,7/12/1993,1,17,0,1,3/7/1989,1
241111972,11/10/2008,1,0,3.674,0,BFQ-924032,2/21/1990,138,1000,2,1,2/6/1959,5,6/4/1993,0,90,1,4,10/1/1980,1
711435597,5/26/2008,5,0,51.087,0,UFV-178699,9/20/2004,1050,3000,2,1,12/1/1939,1,5/23/1991,0,104,0,1,8/15/1999,1
419538371,1/16/2008,3,1,288,0,RXD-703287,7/24/1995,288,1000,1,1,11/5/1962,4,11/25/2002,0,97,0,1,4/22/1989,1
433734179,9/14/2008,4,0,50.14,0,RMD-448964,1/14/1996,125,2000,3,1,9/1/1971,1,2/8/2005,0,32,0,1,9/22/1991,1
508038785,8/4/2008,5,0,27.119,0,TKS-397764,9/9/2003,478,2000,3,0,7/31/1975,1,2/13/2004,0,38,0,3,9/5/1998,1
50635660,6/22/2008,5,0,2.838,0,AMA-134172,11/23/1977,147,1000,3,1,4/2/1930,2,6/25/1978,1,29,1,2,9/19/1965,1
49504286,10/1/2008,1,0,6.42,0,LDJ-759637,2/21/1994,79,1000,2,0,9/16/1961,2,5/26/1995,0,158,0,4,1/14/1988,1
682994238,9/28/2008,4,1,206,0,WUK-022239,7/20/1992,206,2000,1,1,1/18/1955,2,6/15/1991,0,76,0,1,12/13/1985,1
573157695,2/9/2008,1,0,17.08,0,RMR-416420,2/7/2008,417,3000,5,0,4/17/1972,2,11/13/2006,0,58,0,1,8/22/2003,0
19417882,10/3/2008,2,0,10.734,0,FYJ-050815,10/30/1978,110,2000,1,1,8/15/1936,4,9/22/1986,0,160,1,2,7/3/1964,1
873923714,4/29/2008,3,0,185.283,0,CNC-378413,4/27/1987,482,2000,4,1,3/6/1957,4,3/24/1995,0,297,0,1,8/15/1977,1
151843005,2/23/2008,5,0,3.2,0,TKY-295212,8/6/2003,59,200,4,0,7/31/1976,4,11/17/2006,0,20,0,5,10/2/1999,1
7090803,10/19/2008,2,0,45.24555,1,CQH-898940,4/7/1982,435,1000,2,1,12/10/1940,2,1/3/1991,1,31,1,3,8/17/1975,1
307216760,11/22/2008,3,0,51.294,0,FPH-106244,6/22/2006,143,1000,1,1,10/5/1980,2,3/18/2006,0,21,1,4,7/7/2003,1
309393091,8/24/2008,3,0,33.592,0,SYK-814777,10/28/1990,77,1000,4,1,8/3/1948,2,11/29/2007,0,34,1,4,8/19/1988,1
464382513,5/11/2008,5,0,15.669,0,EVI-965739,4/18/2003,361,1000,1,0,7/10/1949,3,5/27/2004,0,60,1,2,8/4/1996,1
237997875,7/30/2008,3,0,162.066,0,JOA-944057,11/18/1985,412,2000,4,0,5/18/1956,2,10/17/1991,0,158,1,2,8/31/1985,1
65241360,11/2/2008,2,0,7.642,0,HJU-714615,7/16/2008,74,500,4,1,4/5/1984,2,5/29/2007,0,31,0,1,10/17/2005,1
107494090,1/10/2008,5,1,32.512,0,LYY-428842,10/15/2007,215,2000,4,1,4/18/1980,2,2/11/2004,0,27,0,1,12/12/2005,1
433731820,1/20/2008,3,0,38.302,0,EDH-369503,11/8/1968,78,1000,3,0,4/12/1931,1,5/7/1982,1,57,1,2,11/14/1956,1
637093813,2/21/2008,2,0,7.09695,1,JND-821515,8/15/1997,70,500,2,0,2/10/1968,2,3/10/1994,0,55,0,1,7/12/1991,1
394423115,4/6/2008,3,1,123,0,BJH-998770,5/30/1981,123,500,2,1,11/25/1936,1,8/27/1996,1,16,0,1,4/29/1974,1
918639382,2/22/2008,4,0,27.272,0,RMV-378281,11/1/2006,84,1000,4,0,3/28/1985,3,6/1/2008,0,16,1,3,12/1/2004,1
625598173,2/11/2008,3,0,205.233,0,SGB-455820,8/6/2007,436,1000,5,0,11/23/1977,2,10/13/2004,0,49,0,1,12/20/2004,1
641733003,11/5/2008,5,0,3.401,0,PEE-286537,8/10/2007,138,500,2,0,1/9/1988,3,7/14/2008,0,34,0,5,2/12/2007,1
367078276,6/10/2008,2,0,8.614,0,QHP-952408,3/17/1987,70,3000,2,1,3/21/1935,4,11/20/2001,1,16,1,2,12/2/1979,1
107461305,5/14/2008,1,0,4.78275,1,KSF-832345,6/25/2007,102,1000,4,0,1/15/1987,2,10/15/2007,0,27,1,5,5/15/2007,1
886899767,5/8/2008,3,0,112.407,0,FQU-995255,6/2/1996,264,1000,4,1,2/17/1958,2,10/3/1987,0,70,1,2,9/26/1988,0
497084859,3/16/2008,1,0,13.343,0,VDN-552833,7/29/2002,360,3000,2,0,9/26/1981,3,8/13/2008,0,24,1,5,2/20/2000,1
765943822,8/2/2008,1,0,32.274,0,FBY-819216,7/31/2003,774,2000,2,1,5/26/1971,1,2/20/1992,0,99,1,3,5/7/1999,1
83656177,5/27/2008,4,1,102,0,XTG-997061,8/26/2001,102,1000,2,1,5/23/1961,1,2/17/2005,0,29,0,3,1/15/2000,1
294122433,5/12/2008,1,0,5.099,0,HRX-450503,2/25/1992,102,1000,2,0,12/23/1953,1,9/13/2000,0,43,1,2,9/2/1986,1
875982811,11/1/2008,1,0,11.1573,1,TCP-927771,6/25/2001,201,500,2,0,11/19/1976,3,3/26/1999,0,32,1,2,6/3/1998,1
